name,time,iter,path,total,proven,unproven,IO,IO_proven,IO_unproven,DZ,DZ_proven,DZ_unproven,nontrivial
001.sol,0.812351,3,7,3,3,0,3,3,0,0,0,0,1
002.sol,0.033009,2,10,2,1,1,2,1,1,0,0,0,0
003.sol,3.215432,11,15,7,5,2,7,5,2,0,0,0,0
004.sol,1.659592,3,15,7,7,0,7,7,0,0,0,0,2
005.sol,11.975188,4,13,8,8,0,8,8,0,0,0,0,1
006.sol,60.005074,152,59,5,3,2,5,3,2,0,0,0,1
007.sol,7.702339,7,12,6,5,1,6,5,1,0,0,0,0
008.sol,8.709176,3,26,6,6,0,6,6,0,0,0,0,3
009.sol,9.110495,4,13,6,6,0,6,6,0,0,0,0,1
010.sol,61.694453,33,16,2,1,1,2,1,1,0,0,0,0
011.sol,60.00803,353,34,15,6,9,14,6,8,1,0,1,0
012.sol,1.508663,3,24,7,7,0,7,7,0,0,0,0,2
013.sol,1.484736,3,24,7,7,0,7,7,0,0,0,0,2
014.sol,1.661398,3,24,7,7,0,7,7,0,0,0,0,2
015.sol,1.512027,3,24,7,7,0,7,7,0,0,0,0,2
016.sol,64.331008,8,42,16,6,10,16,6,10,0,0,0,0
017.sol,5.737612,3,20,5,5,0,5,5,0,0,0,0,3
018.sol,1.483573,3,24,7,7,0,7,7,0,0,0,0,2
019.sol,1.254879,2,61,4,4,0,4,4,0,0,0,0,1
020.sol,0.799635,3,5,3,3,0,3,3,0,0,0,0,1
021.sol,2.44753,21,15,3,3,0,3,3,0,0,0,0,1
022.sol,0.020669,2,5,3,2,1,3,2,1,0,0,0,0
023.sol,0.813034,4,4,3,3,0,3,3,0,0,0,0,1
024.sol,64.70785,15,4153,30,17,13,25,12,13,5,5,0,0
025.sol,0.835013,3,6,3,3,0,3,3,0,0,0,0,1
