id,fold
2018-10299,1
2018-11239,1
2018-13083,1
2018-13085,1
2018-13089,1
2018-13126,1
2018-13127,1
2018-13131,1
2018-13144,1
2018-13146,1
2018-13158,1
2018-13169,1
2018-13171,1
2018-13173,1
2018-13175,1
2018-13176,1
2018-13179,1
2018-13188,1
2018-13189,1
2018-13190,1
2018-13195,1
2018-13197,1
2018-13201,1
2018-13204,1
2018-13207,1
2018-13208,1
2018-13211,1
2018-13212,1
2018-13219,1
2018-13220,1
2018-13223,1
2018-13225,1
2018-13231,1
2018-13325,1
2018-13327,1
2018-13467,1
2018-13470,1
2018-13472,1
2018-13475,1
2018-13483,1
2018-13489,1
2018-13494,1
2018-13501,1
2018-13502,1
2018-13505,1
2018-13506,1
2018-13507,1
2018-13513,1
2018-13520,1
2018-13521,1
2018-13528,1
2018-13530,1
2018-13532,1
2018-13535,1
2018-13538,1
2018-13539,1
2018-13541,1
2018-13542,1
2018-13548,1
2018-13556,1
2018-13558,1
2018-13559,1
2018-13560,1
2018-13566,1
2018-13569,1
2018-13588,1
2018-13602,1
2018-13612,1
2018-13617,1
2018-13618,1
2018-13624,1
2018-13630,1
2018-13632,1
2018-13634,1
2018-13635,1
2018-13641,1
2018-13642,1
2018-13654,1
2018-13655,1
2018-13657,1
2018-13658,1
2018-13669,1
2018-13680,1
2018-13682,1
2018-13687,1
2018-13688,1
2018-13690,1
2018-13695,1
2018-13696,1
2018-13702,1
2018-13709,1
2018-13714,1
2018-13715,1
2018-13719,1
2018-13736,1
2018-13738,1
2018-13742,1
2018-13748,1
2018-13749,1
2018-13755,1
2018-13756,1
2018-13763,1
2018-13764,1
2018-13765,1
2018-13772,1
2018-13776,1
2018-14001,1
2018-14084,1
2018-14086,1
2018-14576,1
2018-18665,1
2018-10376,2
2018-10706,2
2018-11411,2
2018-11429,2
2018-12062,2
2018-12078,2
2018-12082,2
2018-12230,2
2018-13068,2
2018-13070,2
2018-13076,2
2018-13077,2
2018-13079,2
2018-13081,2
2018-13084,2
2018-13090,2
2018-13145,2
2018-13156,2
2018-13159,2
2018-13160,2
2018-13162,2
2018-13164,2
2018-13166,2
2018-13168,2
2018-13172,2
2018-13183,2
2018-13186,2
2018-13192,2
2018-13194,2
2018-13198,2
2018-13206,2
2018-13221,2
2018-13222,2
2018-13227,2
2018-13232,2
2018-13233,2
2018-13469,2
2018-13481,2
2018-13484,2
2018-13490,2
2018-13509,2
2018-13511,2
2018-13515,2
2018-13516,2
2018-13519,2
2018-13533,2
2018-13545,2
2018-13551,2
2018-13562,2
2018-13565,2
2018-13574,2
2018-13575,2
2018-13582,2
2018-13583,2
2018-13585,2
2018-13589,2
2018-13591,2
2018-13593,2
2018-13594,2
2018-13596,2
2018-13603,2
2018-13607,2
2018-13608,2
2018-13610,2
2018-13625,2
2018-13626,2
2018-13627,2
2018-13631,2
2018-13637,2
2018-13643,2
2018-13644,2
2018-13647,2
2018-13650,2
2018-13653,2
2018-13666,2
2018-13668,2
2018-13672,2
2018-13676,2
2018-13679,2
2018-13684,2
2018-13692,2
2018-13693,2
2018-13697,2
2018-13698,2
2018-13700,2
2018-13704,2
2018-13705,2
2018-13706,2
2018-13707,2
2018-13713,2
2018-13717,2
2018-13720,2
2018-13723,2
2018-13725,2
2018-13726,2
2018-13730,2
2018-13731,2
2018-13734,2
2018-13743,2
2018-13747,2
2018-13750,2
2018-13751,2
2018-13753,2
2018-13770,2
2018-13780,2
2018-13836,2
2018-14004,2
2018-14006,2
2018-14087,2
2018-14088,2
2018-18667,2
2018-10468,3
2018-11446,3
2018-11561,3
2018-12063,3
2018-12067,3
2018-12084,3
2018-13041,3
2018-13075,3
2018-13078,3
2018-13082,3
2018-13088,3
2018-13092,3
2018-13155,3
2018-13161,3
2018-13163,3
2018-13165,3
2018-13174,3
2018-13181,3
2018-13184,3
2018-13185,3
2018-13187,3
2018-13191,3
2018-13196,3
2018-13213,3
2018-13214,3
2018-13215,3
2018-13229,3
2018-13328,3
2018-13466,3
2018-13468,3
2018-13474,3
2018-13476,3
2018-13477,3
2018-13478,3
2018-13479,3
2018-13485,3
2018-13488,3
2018-13491,3
2018-13492,3
2018-13495,3
2018-13498,3
2018-13499,3
2018-13500,3
2018-13503,3
2018-13514,3
2018-13523,3
2018-13526,3
2018-13531,3
2018-13534,3
